,Team,Features,Season
0,OKC,"[0, 1, 8, 4, 1, 0, 1, 8, 4, 1, 0, 1, 8, 4, 1, 0, 1, 8, 4, 1, 0, 1, 8, 4, 1, 0, 1, 8, 4, 1, 0, 1, 8, 3, 1, 0, 1, 8, 3, 1, 0, 1, 8, 4, 1, 0, 1, 8, 4, 1]",2016
1,GSW,"[5, 9, 1, 2, 6, 5, 9, 1, 2, 6, 5, 9, 1, 2, 6, 5, 9, 1, 2, 6, 5, 9, 1, 2, 6, 9, 1, 2, 6, 9, 1, 2, 6, 5, 1, 2, 4, 6, 5, 9, 1, 2, 6, 5, 9, 1, 2, 6]",2016
2,SAS,"[7, 8, 2, 6, 3, 7, 8, 2, 6, 3, 7, 8, 2, 6, 3, 7, 8, 2, 6, 3, 7, 8, 2, 6, 3, 7, 8, 2, 6, 3, 7, 2, 6, 3, 0, 7, 8, 4, 6, 3, 7, 8, 2, 6, 3, 7, 8, 2, 6, 3]",2016
3,CLE,"[5, 1, 6, 3, 8, 5, 1, 6, 3, 8, 5, 1, 6, 3, 8, 5, 1, 6, 3, 8, 5, 1, 6, 3, 8, 5, 1, 6, 0, 3, 5, 1, 6, 0, 3, 2, 1, 6, 3, 8, 2, 1, 6, 3, 8, 5, 1, 6, 3, 8]",2016
4,LAC,"[7, 2, 6, 2, 3, 7, 2, 6, 2, 3, 7, 2, 6, 2, 3, 7, 2, 6, 2, 3, 7, 2, 6, 3, 7, 2, 6, 3, 7, 2, 6, 3, 3, 2, 4, 3, 2, 4, 7, 2, 6, 2, 3]",2016
5,TOR,"[1, 4, 6, 2, 8, 1, 4, 6, 2, 8, 1, 4, 6, 2, 8, 0, 2, 6, 2, 2, 0, 2, 6, 2, 2, 0, 2, 6, 2, 2, 1, 6, 2, 8, 1, 6, 2, 8, 1, 4, 6, 2, 8, 1, 4, 6, 2, 8]",2016
6,CHO,"[6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0, 6, 2, 6, 5, 6, 2, 6, 5, 0, 6, 2, 6, 5, 0]",2016
7,DET,"[3, 7, 2, 6, 3, 3, 7, 2, 6, 3, 3, 7, 2, 6, 3, 3, 7, 2, 6, 3, 3, 7, 2, 6, 3, 3, 7, 3, 6, 3, 3, 7, 3, 6, 3, 3, 7, 6, 3, 2, 3, 7, 2, 6, 3, 3, 7, 2, 6, 3]",2016
8,POR,"[3, 6, 6, 8, 0, 3, 6, 6, 8, 0, 3, 6, 6, 8, 0, 3, 6, 6, 8, 0, 3, 6, 6, 8, 0, 3, 0, 6, 6, 8, 3, 0, 6, 6, 8, 2, 0, 2, 4, 6, 3, 6, 6, 8, 0, 3, 6, 6, 8, 0]",2016
9,ATL,"[3, 8, 2, 7, 6, 3, 8, 2, 7, 6, 3, 8, 2, 7, 6, 3, 8, 2, 7, 6, 3, 8, 2, 7, 6, 3, 8, 2, 7, 6, 8, 2, 7, 4, 6, 4, 8, 3, 2, 4, 3, 8, 2, 7, 6, 3, 8, 2, 7, 6]",2016
10,DAL,"[3, 6, 8, 5, 3, 3, 6, 8, 5, 3, 3, 6, 8, 5, 3, 3, 6, 8, 5, 3, 3, 6, 8, 5, 3, 3, 3, 6, 8, 3, 3, 3, 6, 8, 3, 3, 3, 6, 8, 3, 3, 3, 8, 5, 3, 3, 6, 8, 5, 3]",2016
11,BOS,"[3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 3, 0, 8, 6, 3, 2, 2, 3, 3, 3, 0, 8, 6, 3, 3, 3, 0, 8, 6]",2016
12,HOU,"[3, 3, 1, 7, 3, 3, 1, 7, 3, 3, 1, 7, 3, 3, 1, 7, 3, 3, 2, 1, 7, 3, 3, 2, 1, 7, 3, 3, 0, 1, 7, 3, 3, 0, 1, 7, 3, 3, 1, 7, 3, 3, 1, 7]",2016
13,IND,"[3, 1, 3, 8, 9, 3, 1, 3, 8, 9, 3, 1, 3, 8, 9, 3, 1, 3, 8, 9, 3, 1, 3, 8, 4, 3, 1, 3, 8, 4, 0, 3, 1, 3, 8, 0, 3, 1, 3, 8, 3, 1, 3, 8, 9, 3, 1, 3, 8, 9]",2016
14,UTA,"[7, 8, 6, 3, 2, 7, 8, 6, 3, 2, 7, 8, 6, 3, 2, 7, 8, 6, 3, 2, 7, 8, 6, 3, 4, 7, 8, 6, 3, 4, 7, 8, 6, 3, 4, 7, 6, 3, 2, 2, 7, 8, 6, 3, 2, 7, 8, 6, 3, 2]",2016
15,WAS,"[2, 8, 3, 2, 1, 2, 8, 3, 2, 1, 2, 8, 3, 2, 1, 2, 8, 3, 2, 1, 5, 2, 8, 3, 1, 5, 2, 8, 3, 1, 5, 2, 8, 3, 1, 5, 8, 3, 3, 1, 5, 8, 3, 3, 1, 2, 8, 3, 2, 1]",2016
