,Team,Features,Season
16,MEM,"[0, 5, 7, 2, 7, 0, 5, 7, 2, 7, 0, 5, 7, 2, 7, 0, 5, 7, 2, 7, 3, 5, 7, 0, 2, 3, 5, 7, 0, 2, 3, 5, 7, 0, 2, 0, 5, 7, 0, 7, 0, 5, 7, 0, 7, 0, 5, 7, 2, 7]",2016
17,MIA,"[5, 3, 3, 6, 7, 5, 3, 3, 6, 7, 5, 3, 3, 6, 7, 5, 3, 3, 6, 7, 3, 3, 4, 6, 3, 3, 4, 6, 3, 3, 4, 7, 2, 3, 3, 4, 7, 2, 5, 3, 3, 6, 7, 5, 3, 3, 6, 7]",2016
18,PHI,"[3, 8, 7, 3, 2, 3, 8, 7, 3, 2, 3, 8, 7, 3, 2, 3, 0, 8, 3, 2, 3, 0, 8, 3, 2, 3, 0, 8, 3, 2, 2, 0, 8, 3, 2, 2, 0, 8, 3, 2, 3, 8, 7, 3, 2, 3, 8, 7, 3, 2]",2016
19,NYK,"[3, 1, 2, 8, 8, 3, 1, 2, 8, 8, 3, 1, 2, 8, 8, 3, 1, 2, 8, 8, 3, 1, 2, 8, 8, 3, 1, 2, 8, 8, 1, 2, 8, 8, 1, 2, 8, 8, 2, 0, 4, 3, 3, 1, 2, 8, 8]",2016
20,NOP,"[0, 7, 4, 0, 7, 4, 0, 7, 4, 0, 7, 4, 3, 2, 7, 6, 3, 2, 7, 6, 3, 2, 7, 6, 0, 2, 7, 0, 2, 7, 0, 7, 4]",2016
21,LAL,"[6, 3, 0, 8, 3, 6, 3, 0, 8, 3, 6, 3, 0, 8, 3, 6, 3, 0, 8, 3, 6, 3, 0, 8, 3, 6, 3, 0, 9, 3, 6, 3, 0, 9, 3, 6, 3, 0, 8, 3, 6, 3, 0, 8, 3, 6, 3, 0, 8, 3]",2016
22,BRK,"[2, 4, 7, 4, 7, 2, 4, 7, 4, 7, 2, 4, 7, 4, 7, 2, 4, 7, 4, 7, 2, 4, 7, 7, 2, 4, 7, 7, 2, 4, 7, 7, 4, 7, 7, 4, 7, 7, 2, 4, 7, 4, 7]",2016
23,ORL,"[3, 4, 3, 3, 7, 3, 4, 3, 3, 7, 3, 4, 3, 3, 7, 3, 4, 3, 3, 7, 3, 0, 6, 3, 7, 3, 0, 6, 3, 7, 3, 0, 6, 3, 7, 3, 3, 6, 3, 7, 3, 3, 6, 3, 7, 3, 4, 3, 3, 7]",2016
24,SAC,"[5, 1, 6, 2, 6, 5, 1, 6, 2, 6, 5, 1, 6, 2, 6, 1, 6, 2, 6, 1, 6, 2, 6, 1, 6, 2, 6, 5, 3, 1, 6, 6, 5, 3, 1, 6, 6, 5, 1, 6, 2, 6, 5, 1, 6, 2, 6]",2016
25,MIL,"[7, 5, 6, 7, 8, 7, 5, 6, 7, 8, 7, 5, 6, 7, 8, 7, 5, 6, 7, 8, 7, 5, 6, 7, 8, 7, 4, 6, 7, 8, 7, 4, 6, 7, 8, 7, 6, 7, 8, 7, 5, 6, 7, 8, 7, 5, 6, 7, 8]",2016
26,PHO,"[3, 9, 8, 4, 2, 3, 9, 8, 4, 2, 3, 9, 8, 4, 2, 9, 6, 3, 2, 9, 6, 3, 2, 9, 6, 3, 2, 6, 8, 0, 2, 6, 8, 0, 2, 3, 9, 8, 4, 2, 3, 9, 8, 4, 2]",2016
27,CHI,"[6, 7, 8, 6, 2, 6, 7, 8, 6, 2, 6, 7, 8, 6, 2, 6, 7, 3, 6, 2, 6, 7, 3, 6, 2, 6, 7, 3, 6, 2, 6, 7, 8, 3, 6, 6, 7, 8, 3, 6, 6, 7, 8, 6, 2, 6, 7, 8, 6, 2]",2016
28,MIN,"[8, 3, 3, 7, 6, 8, 3, 3, 7, 6, 8, 3, 3, 7, 6, 8, 3, 3, 7, 6, 8, 3, 3, 7, 6, 2, 3, 7, 6, 2, 3, 7, 6, 8, 2, 3, 7, 6, 8, 2, 3, 7, 6, 8, 3, 3, 7, 6]",2016
29,DEN,"[8, 5, 3, 8, 3, 8, 5, 3, 8, 3, 8, 5, 3, 8, 3, 8, 5, 3, 8, 3, 8, 3, 8, 3, 2, 8, 3, 8, 3, 2, 8, 3, 8, 3, 2, 8, 5, 3, 3, 8, 5, 3, 8, 3, 8, 5, 3, 8, 3]",2016
