,Team,Features,Season
19,NYK,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
20,NOP,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
21,LAL,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
22,BRK,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
23,ORL,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
24,SAC,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
25,MIL,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
26,PHO,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
27,CHI,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
28,MIN,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
29,DEN,"[2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 2, 4, 4, 1, 9, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 14, 6, 11, 13, 2, 3, 11, 5, 14, 2, 3, 11, 5, 14, 2, 2, 4, 4, 1, 9]",2011
