,Team,Features,Season
17,MIA,"[6, 6, 0, 5, 8, 0, 6, 5, 6, 9, 8, 3, 6, 5, 6, 6, 0, 5, 8, 0, 6, 5, 6, 9, 8, 3, 6, 5, 6, 6, 0, 5, 8, 0, 6, 5, 6, 9, 8, 3, 6, 5, 6, 6, 0, 5, 8, 0, 6, 5]",2014
18,PHI,"[6, 3, 4, 2, 8, 6, 3, 4, 8, 2, 6, 3, 4, 8, 2, 6, 3, 4, 2, 8, 6, 3, 4, 8, 2, 6, 3, 4, 8, 2, 6, 3, 4, 2, 8, 6, 3, 4, 8, 2, 6, 3, 4, 8, 2, 6, 3, 4, 2, 8]",2014
19,NYK,"[0, 1, 3, 4, 0, 2, 6, 0, 6, 0, 1, 3, 4, 0, 2, 6, 0, 6, 0, 1, 3, 4, 0, 2, 6, 0, 6, 0, 1, 3, 4, 0, 2, 6, 0, 6, 0, 1, 3, 4, 0, 2, 6, 0, 6, 0, 1, 3, 4, 0]",2014
20,NOP,"[8, 7, 0, 5, 2, 8, 0, 7, 0, 5, 8, 7, 0, 8, 7, 0, 5, 2, 8, 0, 7, 0, 5, 8, 7, 0, 8, 7, 0, 5, 2, 8, 0, 7, 0, 5, 8, 7, 0, 8, 7, 0, 5, 2, 8, 0, 7, 0, 5, 8]",2014
21,LAL,"[8, 3, 8, 3, 7, 3, 8, 9, 5, 2, 3, 8, 8, 3, 8, 3, 7, 3, 8, 9, 5, 2, 3, 8, 8, 3, 8, 3, 7, 3, 8, 9, 5, 2, 3, 8, 8, 3, 8, 3, 7, 3, 8, 9, 5, 2, 3, 8, 8, 3]",2014
22,BRK,"[8, 7, 6, 5, 2, 9, 8, 7, 6, 2, 8, 7, 6, 5, 8, 7, 6, 5, 2, 9, 8, 7, 6, 2, 8, 7, 6, 5, 8, 7, 6, 5, 2, 9, 8, 7, 6, 2, 8, 7, 6, 5, 8, 7, 6, 5, 2, 9, 8, 7]",2014
23,ORL,"[2, 3, 2, 6, 7, 2, 6, 3, 7, 2, 3, 2, 3, 7, 2, 3, 2, 6, 7, 2, 6, 3, 7, 2, 3, 2, 3, 7, 2, 3, 2, 6, 7, 2, 6, 3, 7, 2, 3, 2, 3, 7, 2, 3, 2, 6, 7, 2, 6, 3]",2014
24,SAC,"[3, 7, 6, 2, 2, 3, 0, 6, 2, 2, 3, 6, 2, 2, 3, 7, 6, 2, 2, 3, 0, 6, 2, 2, 3, 6, 2, 2, 3, 7, 6, 2, 2, 3, 0, 6, 2, 2, 3, 6, 2, 2, 3, 7, 6, 2, 2, 3, 0, 6]",2014
25,MIL,"[2, 6, 5, 3, 0, 2, 6, 5, 6, 2, 2, 8, 6, 3, 2, 6, 5, 3, 0, 2, 6, 5, 6, 2, 2, 8, 6, 3, 2, 6, 5, 3, 0, 2, 6, 5, 6, 2, 2, 8, 6, 3, 2, 6, 5, 3, 0, 2, 6, 5]",2014
26,PHO,"[6, 6, 0, 2, 3, 6, 6, 2, 2, 9, 6, 6, 2, 9, 3, 6, 6, 0, 2, 3, 6, 6, 2, 2, 9, 6, 6, 2, 9, 3, 6, 6, 0, 2, 3, 6, 6, 2, 2, 9, 6, 6, 2, 9, 3, 6, 6, 0, 2, 3]",2014
27,CHI,"[4, 3, 7, 7, 5, 2, 3, 7, 7, 2, 4, 7, 8, 3, 5, 4, 3, 7, 7, 5, 2, 3, 7, 7, 2, 4, 7, 8, 3, 5, 4, 3, 7, 7, 5, 2, 3, 7, 7, 2, 4, 7, 8, 3, 5, 4, 3, 7, 7, 5]",2014
28,MIN,"[8, 3, 6, 5, 3, 8, 3, 6, 5, 4, 7, 3, 6, 5, 8, 3, 6, 5, 3, 8, 3, 6, 5, 4, 7, 3, 6, 5, 8, 3, 6, 5, 3, 8, 3, 6, 5, 4, 7, 3, 6, 5, 8, 3, 6, 5, 3, 8, 3, 6]",2014
29,DEN,"[6, 9, 8, 6, 8, 9, 8, 3, 5, 6, 6, 9, 8, 6, 0, 6, 9, 8, 6, 8, 9, 8, 3, 5, 6, 6, 9, 8, 6, 0, 6, 9, 8, 6, 8, 9, 8, 3, 5, 6, 6, 9, 8, 6, 0, 6, 9, 8, 6, 8]",2014
