,Team,Features,Season
0,OKC,"[8, 1, 7, 4, 1, 8, 7, 8, 4, 1, 8, 7, 3, 2, 6, 8, 1, 7, 4, 1, 8, 7, 8, 4, 1, 8, 7, 3, 2, 6, 8, 1, 7, 4, 1, 8, 7, 8, 4, 1, 8, 7, 3, 2, 6, 8, 1, 7, 4, 1]",2014
1,GSW,"[2, 9, 6, 4, 2, 2, 6, 4, 0, 2, 9, 6, 4, 5, 2, 2, 9, 6, 4, 2, 2, 6, 4, 0, 2, 9, 6, 4, 5, 2, 2, 9, 6, 4, 2, 2, 6, 4, 0, 2, 9, 6, 4, 5, 2, 2, 9, 6, 4, 2]",2014
2,SAS,"[7, 4, 5, 6, 9, 0, 7, 4, 5, 6, 0, 7, 5, 5, 6, 7, 4, 5, 6, 9, 0, 7, 4, 5, 6, 0, 7, 5, 5, 6, 7, 4, 5, 6, 9, 0, 7, 4, 5, 6, 0, 7, 5, 5, 6, 7, 4, 5, 6, 9]",2014
3,CLE,"[6, 2, 1, 8, 4, 6, 2, 1, 8, 8, 6, 2, 1, 8, 2, 6, 2, 1, 8, 4, 6, 2, 1, 8, 8, 6, 2, 1, 8, 2, 6, 2, 1, 8, 4, 6, 2, 1, 8, 8, 6, 2, 1, 8, 2, 6, 2, 1, 8, 4]",2014
4,LAC,"[2, 1, 5, 6, 3, 6, 1, 5, 6, 3, 2, 6, 1, 5, 6, 2, 1, 5, 6, 3, 6, 1, 5, 6, 3, 2, 6, 1, 5, 6, 2, 1, 5, 6, 3, 6, 1, 5, 6, 3, 2, 6, 1, 5, 6, 2, 1, 5, 6, 3]",2014
5,TOR,"[1, 8, 6, 2, 8, 0, 8, 0, 2, 6, 1, 8, 6, 8, 2, 1, 8, 6, 2, 8, 0, 8, 0, 2, 6, 1, 8, 6, 8, 2, 1, 8, 6, 2, 8, 0, 8, 0, 2, 6, 1, 8, 6, 8, 2, 1, 8, 6, 2, 8]",2014
6,CHO,"[3, 7, 3, 6, 0, 9, 3, 0, 6, 0, 3, 7, 0, 6, 0, 3, 7, 3, 6, 0, 9, 3, 0, 6, 0, 3, 7, 0, 6, 0, 3, 7, 3, 6, 0, 9, 3, 0, 6, 0, 3, 7, 0, 6, 0, 3, 7, 3, 6, 0]",2014
7,DET,"[2, 7, 6, 7, 2, 2, 7, 6, 2, 4, 4, 2, 7, 3, 4, 2, 7, 6, 7, 2, 2, 7, 6, 2, 4, 4, 2, 7, 3, 4, 2, 7, 6, 7, 2, 2, 7, 6, 2, 4, 4, 2, 7, 3, 4, 2, 7, 6, 7, 2]",2014
8,POR,"[7, 3, 6, 7, 3, 6, 7, 3, 6, 7, 7, 3, 0, 6, 3, 7, 3, 6, 7, 3, 6, 7, 3, 6, 7, 7, 3, 0, 6, 3, 7, 3, 6, 7, 3, 6, 7, 3, 6, 7, 7, 3, 0, 6, 3, 7, 3, 6, 7, 3]",2014
9,ATL,"[3, 8, 5, 7, 6, 2, 3, 5, 7, 6, 2, 8, 5, 3, 2, 3, 8, 5, 7, 6, 2, 3, 5, 7, 6, 2, 8, 5, 3, 2, 3, 8, 5, 7, 6, 2, 3, 5, 7, 6, 2, 8, 5, 3, 2, 3, 8, 5, 7, 6]",2014
10,DAL,"[9, 6, 6, 6, 3, 9, 6, 3, 6, 6, 9, 6, 2, 6, 6, 9, 6, 6, 6, 3, 9, 6, 3, 6, 6, 9, 6, 2, 6, 6, 9, 6, 6, 6, 3, 9, 6, 3, 6, 6, 9, 6, 2, 6, 6, 9, 6, 6, 6, 3]",2014
11,BOS,"[8, 6, 2, 3, 0, 6, 4, 0, 3, 8, 6, 4, 3, 8, 0, 8, 6, 2, 3, 0, 6, 4, 0, 3, 8, 6, 4, 3, 8, 0, 8, 6, 2, 3, 0, 6, 4, 0, 3, 8, 6, 4, 3, 8, 0, 8, 6, 2, 3, 0]",2014
12,HOU,"[3, 5, 1, 7, 4, 3, 5, 1, 4, 3, 5, 1, 8, 4, 3, 5, 1, 7, 4, 3, 5, 1, 4, 3, 5, 1, 8, 4, 3, 5, 1, 7, 4, 3, 5, 1, 4, 3, 5, 1, 8, 4, 3, 5, 1, 7, 4, 3, 5, 1]",2014
13,IND,"[8, 3, 3, 4, 8, 8, 3, 3, 4, 8, 0, 4, 0, 3, 4, 8, 3, 3, 4, 8, 8, 3, 3, 4, 8, 0, 4, 0, 3, 4, 8, 3, 3, 4, 8, 8, 3, 3, 4, 8, 0, 4, 0, 3, 4, 8, 3, 3, 4, 8]",2014
14,UTA,"[3, 3, 8, 6, 8, 2, 8, 8, 6, 2, 2, 8, 8, 6, 3, 3, 8, 6, 8, 2, 8, 8, 6, 2, 2, 8, 8, 6, 3, 3, 8, 6, 8, 2, 8, 8, 6, 2, 2, 8, 8, 6, 3, 3, 8, 6, 8, 2, 8, 8]",2014
15,WAS,"[6, 8, 5, 3, 6, 6, 8, 0, 3, 6, 8, 5, 3, 6, 6, 8, 5, 3, 6, 6, 8, 0, 3, 6, 8, 5, 3, 6, 6, 8, 5, 3, 6, 6, 8, 0, 3, 6, 8, 5, 3, 6, 6, 8, 5, 3, 6, 6, 8, 0]",2014
16,MEM,"[0, 6, 7, 2, 7, 6, 7, 4, 2, 7, 7, 4, 2, 7, 2, 0, 6, 7, 2, 7, 6, 7, 4, 2, 7, 7, 4, 2, 7, 2, 0, 6, 7, 2, 7, 6, 7, 4, 2, 7, 7, 4, 2, 7, 2, 0, 6, 7, 2, 7]",2014
