,Team,Features,Season
0,OKC,"[1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1, 1, 8, 1]",2012
1,GSW,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 3, 4, 3, 4, 3]",2012
2,SAS,"[7, 7, 4, 4, 6, 7, 7, 4, 4, 6, 7, 7, 4, 4, 6, 7, 7, 4, 4, 6, 7, 7, 4, 4, 6, 7, 7, 4, 4, 6, 7, 4, 4, 6, 8, 7, 7, 4, 6, 7, 7, 4, 4, 6, 7, 7, 4, 4, 6]",2012
3,CLE,"[5, 1, 1, 7, 8, 5, 1, 1, 7, 8, 5, 1, 1, 7, 8, 5, 1, 1, 7, 8, 5, 1, 1, 7, 8, 5, 1, 1, 7, 5, 1, 1, 7, 1, 1, 7, 8, 1, 1, 7, 8, 5, 1, 1, 7, 8]",2012
4,LAC,"[9, 6, 6, 2, 9, 6, 6, 2, 9, 6, 6, 2, 9, 6, 6, 2, 7, 9, 6, 2, 7, 9, 6, 2, 7, 9, 6, 2, 3, 2, 3, 2, 9, 6, 6, 2]",2012
5,TOR,"[6, 0, 7, 6, 0, 7, 6, 0, 7, 0, 0, 0, 0, 0, 0, 6, 7, 6, 7, 6, 0, 7, 6, 0, 7]",2012
6,CHO,"[5, 5, 3, 4, 5, 5, 3, 4, 5, 5, 3, 4, 5, 5, 3, 4, 5, 3, 4, 5, 3, 4, 5, 3, 4, 5, 7, 3, 4, 5, 5, 3, 4, 5, 5, 3, 4]",2012
7,DET,"[8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 0, 0, 0, 4, 8, 0, 8, 0]",2012
8,POR,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]",2012
9,ATL,"[4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 7, 5]",2012
10,DAL,"[3, 6, 9, 5, 6, 3, 6, 9, 5, 6, 3, 6, 9, 5, 6, 3, 6, 9, 5, 6, 3, 6, 9, 5, 6, 5, 3, 6, 9, 6, 5, 3, 6, 9, 6, 5, 3, 6, 9, 6, 5, 3, 9, 5, 6, 3, 6, 9, 5, 6]",2012
11,BOS,"[4, 9, 5, 4, 9, 5, 4, 9, 5, 4, 9, 5, 4, 9, 5, 4, 9, 5, 4, 9, 5, 4, 0, 8, 4, 9, 5, 8, 4, 9, 5]",2012
12,HOU,"[5, 7, 5, 7, 5, 7, 5, 7, 4, 5, 7, 4, 5, 7, 5, 7, 5, 7, 5, 7, 5, 7]",2012
13,IND,"[6, 3, 9, 6, 3, 9, 6, 3, 9, 6, 3, 9, 6, 3, 9, 4, 6, 3, 9, 4, 6, 3, 9, 6, 3, 9, 6, 3, 9, 6, 3, 9]",2012
14,UTA,"[8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5]",2012
15,WAS,"[5, 7, 6, 5, 7, 6, 5, 7, 6, 5, 7, 6, 5, 7, 6, 5, 7, 6, 5, 7, 6, 7, 0, 6, 7, 0, 6, 5, 7, 6]",2012
16,MEM,"[5, 5, 7, 5, 5, 5, 7, 5, 5, 5, 7, 5, 5, 5, 7, 5, 0, 5, 7, 5, 0, 5, 7, 5, 0, 5, 7, 5, 5, 5, 7, 5, 5, 7, 5, 5, 7, 5]",2012
17,MIA,"[7, 5, 5, 7, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 0, 5, 5, 0, 5, 5, 5, 5, 5, 5, 7, 5, 5, 7, 5, 5]",2012
18,PHI,"[7, 7, 7, 7, 7, 7, 7, 9, 7, 9, 7, 7]",2012
19,NYK,"[5, 1, 5, 5, 1, 5, 5, 1, 5, 5, 1, 5, 5, 1, 5, 5, 1, 5, 1, 5, 1, 5, 6, 5, 1, 5]",2012
20,NOP,"[6, 3, 6, 3, 6, 3, 6, 3, 5, 2, 0, 3, 5, 2, 0, 3, 5, 2, 0, 3, 2, 0, 2, 0, 6, 3]",2012
21,LAL,"[1, 8, 1, 8, 1, 8, 1, 8, 1, 8, 1, 8, 3, 1, 8, 3, 1, 8, 3, 1, 8, 3, 1, 8]",2012
22,BRK,"[4, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0]",2012
23,ORL,"[0, 9, 0, 9, 0, 9, 0, 9, 9, 9, 9, 9, 9, 0, 9]",2012
24,SAC,"[2, 7, 6, 5, 2, 7, 6, 5, 2, 7, 6, 5, 7, 6, 5, 7, 6, 5, 7, 6, 5, 2, 5, 7, 6, 5, 2, 5, 7, 6, 5, 2, 7, 6, 5, 2, 7, 6, 5]",2012
25,MIL,"[7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7]",2012
26,PHO,"[9, 9, 9, 9, 3, 0, 9, 3, 0, 9, 3, 0, 3, 3, 9, 9]",2012
27,CHI,"[7, 0, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 0, 7, 0, 7, 0]",2012
28,MIN,"[7, 3, 7, 3, 3, 3]",2012
29,DEN,[9],2012
