,Team,Features,Season
0,OKC,"[8, 8, 4, 1, 8, 8, 4, 1, 8, 8, 4, 1, 8, 8, 4, 1, 8, 8, 4, 1, 8, 8, 4, 1, 8, 8, 3, 1, 8, 8, 3, 1, 8, 8, 4, 1, 8, 8, 4, 1]",2015
1,GSW,"[2, 9, 6, 3, 6, 2, 9, 6, 3, 6, 2, 9, 6, 3, 6, 2, 9, 6, 3, 6, 2, 9, 6, 3, 6, 9, 6, 3, 6, 9, 6, 3, 6, 2, 6, 3, 2, 6, 2, 9, 6, 3, 6, 2, 9, 6, 3, 6]",2015
2,SAS,"[7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 3, 6, 5, 8, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5, 7, 7, 3, 6, 5]",2015
3,CLE,"[6, 1, 6, 3, 8, 6, 1, 6, 3, 8, 6, 1, 6, 3, 8, 6, 1, 6, 3, 8, 6, 1, 6, 3, 8, 6, 1, 6, 8, 3, 6, 1, 6, 8, 3, 2, 1, 6, 3, 8, 2, 1, 6, 3, 8, 6, 1, 6, 3, 8]",2015
4,LAC,"[7, 3, 6, 3, 3, 7, 3, 6, 3, 3, 7, 3, 6, 3, 3, 7, 3, 6, 3, 3, 1, 7, 3, 6, 3, 1, 7, 3, 6, 3, 1, 7, 3, 6, 3, 0, 3, 2, 4, 2, 0, 3, 2, 4, 2, 7, 3, 6, 3, 3]",2015
5,TOR,"[6, 9, 6, 8, 8, 6, 9, 6, 8, 8, 6, 9, 6, 8, 8, 9, 2, 6, 2, 2, 9, 2, 6, 2, 2, 9, 2, 6, 2, 2, 5, 6, 6, 8, 8, 5, 6, 6, 8, 8, 6, 9, 6, 8, 8, 6, 9, 6, 8, 8]",2015
6,CHO,"[3, 2, 6, 6, 0, 3, 2, 6, 6, 0, 3, 2, 6, 6, 0, 3, 2, 6, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 6, 6, 0, 3, 7, 6, 6, 3, 2, 6, 6, 0, 3, 2, 6, 6, 0]",2015
7,DET,"[3, 7, 5, 6, 2, 3, 7, 5, 6, 2, 3, 7, 5, 6, 2, 3, 7, 5, 6, 2, 3, 7, 5, 6, 2, 3, 7, 6, 6, 2, 3, 7, 6, 6, 2, 3, 7, 6, 2, 2, 3, 7, 5, 6, 2, 3, 7, 5, 6, 2]",2015
8,POR,"[0, 6, 4, 8, 0, 6, 4, 8, 0, 6, 4, 8, 0, 6, 4, 8, 0, 6, 4, 8, 0, 6, 4, 8, 0, 6, 4, 8, 8, 3, 9, 4, 0, 6, 4, 8, 0, 6, 4, 8]",2015
9,ATL,"[2, 8, 4, 6, 6, 2, 8, 4, 6, 6, 2, 8, 4, 6, 6, 2, 8, 4, 6, 6, 2, 8, 4, 6, 6, 2, 8, 4, 6, 6, 8, 4, 6, 4, 6, 2, 8, 3, 4, 4, 2, 8, 4, 6, 6, 2, 8, 4, 6, 6]",2015
