,Team,Features,Season
10,DAL,"[5, 6, 8, 5, 3, 5, 6, 8, 5, 3, 5, 6, 8, 5, 3, 5, 6, 8, 5, 3, 5, 6, 8, 5, 3, 5, 6, 8, 3, 5, 6, 8, 3, 5, 6, 8, 3, 5, 8, 5, 3, 5, 6, 8, 5, 3]",2015
11,BOS,"[3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 0, 8, 3, 3, 2, 5, 2, 3, 3, 0, 8, 3, 3, 3, 2, 0, 8, 3]",2015
12,HOU,"[3, 5, 1, 8, 3, 5, 1, 8, 3, 5, 1, 8, 3, 5, 1, 8, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 1, 3, 5, 1, 3, 5, 1, 8, 3, 5, 1, 8]",2015
13,IND,"[6, 9, 6, 9, 6, 9, 6, 9, 6, 9, 3, 6, 9, 3, 0, 6, 9, 0, 6, 9, 6, 9, 6, 9]",2015
14,UTA,"[7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8, 6, 4, 7, 8, 6, 4, 7, 8, 6, 4, 7, 6, 7, 8, 6, 7, 8, 6]",2015
15,WAS,"[4, 8, 2, 6, 4, 8, 2, 6, 4, 8, 2, 6, 4, 8, 2, 6, 5, 4, 8, 2, 6, 5, 4, 8, 2, 6, 5, 4, 8, 2, 6, 5, 8, 2, 2, 6, 5, 8, 2, 2, 6, 4, 8, 2, 6]",2015
16,MEM,"[5, 6, 7, 2, 7, 5, 6, 7, 2, 7, 5, 6, 7, 2, 7, 5, 6, 7, 2, 7, 2, 6, 7, 3, 2, 2, 6, 7, 3, 2, 2, 6, 7, 3, 2, 5, 6, 7, 3, 7, 5, 6, 7, 3, 7, 5, 6, 7, 2, 7]",2015
17,MIA,"[3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 9, 9, 1, 3, 6, 9, 9, 1, 3, 6, 3, 6, 3, 6, 1, 3, 6, 1]",2015
18,PHI,"[3, 8, 4, 2, 3, 8, 4, 2, 3, 8, 4, 2, 3, 2, 8, 4, 2, 3, 2, 8, 4, 2, 3, 2, 8, 4, 2, 2, 8, 4, 2, 2, 8, 4, 2, 3, 8, 4, 2, 3, 8, 4, 2]",2015
19,NYK,"[3, 9, 3, 9, 3, 9, 3, 9, 3, 9, 3, 9, 9, 9, 2, 9, 0, 3, 3, 9]",2015
20,NOP,"[8, 7, 6, 3, 8, 7, 6, 3, 8, 7, 6, 3, 8, 7, 6, 3, 5, 2, 0, 7, 5, 2, 0, 7, 5, 2, 0, 7, 8, 2, 0, 7, 8, 2, 0, 7, 8, 7, 6, 3]",2015
21,LAL,"[5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 5, 8, 3, 5, 8, 3, 5, 8, 3, 5, 8, 3, 5, 8]",2015
22,BRK,"[2, 9, 7, 4, 3, 2, 9, 7, 4, 3, 2, 9, 7, 4, 3, 2, 9, 7, 4, 3, 2, 3, 9, 7, 3, 2, 3, 9, 7, 3, 2, 3, 9, 7, 3, 3, 9, 7, 3, 3, 9, 7, 3, 2, 9, 7, 4, 3]",2015
23,ORL,"[5, 2, 6, 3, 7, 5, 2, 6, 3, 7, 5, 2, 6, 3, 7, 5, 2, 6, 3, 7, 5, 6, 3, 7, 5, 6, 3, 7, 5, 6, 3, 7, 5, 6, 6, 3, 7, 5, 6, 6, 3, 7, 5, 2, 6, 3, 7]",2015
24,SAC,"[4, 7, 6, 3, 3, 4, 7, 6, 3, 3, 4, 7, 6, 3, 3, 0, 7, 6, 3, 3, 0, 7, 6, 3, 3, 0, 7, 6, 3, 3, 4, 7, 6, 3, 4, 7, 6, 3, 4, 7, 6, 3, 3, 4, 7, 6, 3, 3]",2015
25,MIL,"[8, 6, 3, 7, 8, 6, 3, 7, 8, 6, 3, 7, 8, 6, 3, 7, 8, 6, 3, 7, 8, 2, 3, 7, 8, 2, 3, 7, 8, 3, 3, 7, 8, 6, 3, 7, 8, 6, 3, 7]",2015
26,PHO,"[8, 0, 3, 8, 0, 3, 8, 0, 3, 6, 8, 6, 2, 3, 6, 8, 6, 2, 3, 6, 8, 6, 2, 3, 6, 6, 0, 3, 6, 6, 0, 3, 8, 0, 3, 8, 0, 3]",2015
27,CHI,"[6, 7, 8, 5, 2, 6, 7, 8, 5, 2, 6, 7, 8, 5, 2, 6, 7, 2, 5, 2, 6, 7, 2, 5, 2, 6, 7, 2, 5, 2, 6, 7, 8, 2, 5, 6, 7, 8, 2, 5, 6, 7, 8, 5, 2, 6, 7, 8, 5, 2]",2015
28,MIN,"[8, 3, 6, 8, 3, 6, 8, 3, 6, 8, 3, 6, 8, 3, 6, 4, 6, 4, 6, 8, 4, 6, 8, 4, 6, 8, 3, 6]",2015
29,DEN,"[8, 5, 8, 5, 8, 5, 8, 5, 8, 2, 8, 2, 8, 2, 8, 5, 0, 8, 5, 8, 5]",2015
