,Team,Features,Season
0,OKC,"[1, 8, 3, 0, 2, 1, 8, 0, 2, 1, 3, 2, 3, 2, 1, 8, 3, 0, 2, 1, 8, 0, 2, 1, 3, 2, 3, 2, 1, 8, 3, 0, 2, 1, 8, 0, 2, 1, 3, 2, 3, 2, 1, 8, 3, 0, 2, 1, 8, 0]",2013
1,GSW,"[9, 6, 3, 2, 2, 2, 9, 6, 2, 2, 6, 2, 3, 9, 2, 9, 6, 3, 2, 2, 2, 9, 6, 2, 2, 6, 2, 3, 9, 2, 9, 6, 3, 2, 2, 2, 9, 6, 2, 2, 6, 2, 3, 9, 2, 9, 6, 3, 2, 2]",2013
2,SAS,"[7, 2, 5, 6, 8, 4, 7, 5, 5, 6, 2, 7, 5, 6, 8, 7, 2, 5, 6, 8, 4, 7, 5, 5, 6, 2, 7, 5, 6, 8, 7, 2, 5, 6, 8, 4, 7, 5, 5, 6, 2, 7, 5, 6, 8, 7, 2, 5, 6, 8]",2013
3,CLE,"[6, 8, 1, 3, 2, 6, 1, 2, 2, 8, 1, 3, 2, 8, 5, 6, 8, 1, 3, 2, 6, 1, 2, 2, 8, 1, 3, 2, 8, 5, 6, 8, 1, 3, 2, 6, 1, 2, 2, 8, 1, 3, 2, 8, 5, 6, 8, 1, 3, 2]",2013
4,LAC,"[2, 3, 7, 3, 6, 3, 7, 3, 6, 3, 3, 3, 7, 3, 6, 2, 3, 7, 3, 6, 3, 7, 3, 6, 3, 3, 3, 7, 3, 6, 2, 3, 7, 3, 6, 3, 7, 3, 6, 3, 3, 3, 7, 3, 6, 2, 3, 7, 3, 6]",2013
5,TOR,"[6, 8, 3, 2, 9, 6, 6, 8, 3, 9, 6, 3, 0, 2, 9, 6, 8, 3, 2, 9, 6, 6, 8, 3, 9, 6, 3, 0, 2, 9, 6, 8, 3, 2, 9, 6, 6, 8, 3, 9, 6, 3, 0, 2, 9, 6, 8, 3, 2, 9]",2013
6,DET,"[2, 9, 6, 7, 9, 9, 6, 7, 2, 9, 6, 7, 2, 9, 3, 2, 9, 6, 7, 9, 9, 6, 7, 2, 9, 6, 7, 2, 9, 3, 2, 9, 6, 7, 9, 9, 6, 7, 2, 9, 6, 7, 2, 9, 3, 2, 9, 6, 7, 9]",2013
7,POR,"[7, 3, 6, 7, 3, 3, 6, 7, 3, 9, 7, 3, 7, 3, 6, 7, 3, 6, 7, 3, 3, 6, 7, 3, 9, 7, 3, 7, 3, 6, 7, 3, 6, 7, 3, 3, 6, 7, 3, 9, 7, 3, 7, 3, 6, 7, 3, 6, 7, 3]",2013
8,ATL,"[4, 7, 2, 8, 6, 4, 2, 8, 6, 0, 4, 2, 8, 6, 4, 7, 2, 8, 6, 4, 2, 8, 6, 0, 4, 2, 8, 6, 4, 7, 2, 8, 6, 4, 2, 8, 6, 0, 4, 2, 8, 6, 4, 7, 2, 8, 6, 4, 2, 8]",2013
9,DAL,"[3, 0, 6, 8, 5, 3, 3, 0, 6, 8, 0, 3, 6, 8, 5, 3, 0, 6, 8, 5, 3, 3, 0, 6, 8, 0, 3, 6, 8, 5, 3, 0, 6, 8, 5, 3, 3, 0, 6, 8, 0, 3, 6, 8, 5, 3, 0, 6, 8, 5]",2013
10,BOS,"[0, 5, 3, 2, 8, 0, 2, 2, 0, 0, 5, 3, 2, 0, 0, 5, 3, 2, 8, 0, 2, 2, 0, 0, 5, 3, 2, 0, 0, 5, 3, 2, 8, 0, 2, 2, 0, 0, 5, 3, 2, 0, 0, 5, 3, 2, 8, 0, 2, 2]",2013
11,HOU,"[5, 1, 7, 8, 3, 1, 7, 8, 3, 3, 5, 7, 8, 3, 3, 5, 1, 7, 8, 3, 1, 7, 8, 3, 3, 5, 7, 8, 3, 3, 5, 1, 7, 8, 3, 1, 7, 8, 3, 3, 5, 7, 8, 3, 3, 5, 1, 7, 8, 3]",2013
12,IND,"[6, 8, 3, 2, 7, 0, 8, 2, 2, 6, 8, 2, 2, 7, 6, 8, 3, 2, 7, 0, 8, 2, 2, 6, 8, 2, 2, 7, 6, 8, 3, 2, 7, 0, 8, 2, 2, 6, 8, 2, 2, 7, 6, 8, 3, 2, 7, 0, 8, 2]",2013
13,UTA,"[3, 8, 3, 7, 6, 3, 8, 3, 7, 0, 3, 3, 7, 0, 6, 3, 8, 3, 7, 6, 3, 8, 3, 7, 0, 3, 3, 7, 0, 6, 3, 8, 3, 7, 6, 3, 8, 3, 7, 0, 3, 3, 7, 0, 6, 3, 8, 3, 7, 6]",2013
14,WAS,"[5, 5, 0, 8, 6, 5, 5, 8, 8, 6, 5, 8, 8, 6, 3, 5, 5, 0, 8, 6, 5, 5, 8, 8, 6, 5, 8, 8, 6, 3, 5, 5, 0, 8, 6, 5, 5, 8, 8, 6, 5, 8, 8, 6, 3, 5, 5, 0, 8, 6]",2013
15,MEM,"[6, 8, 2, 3, 7, 0, 6, 8, 3, 7, 2, 8, 2, 3, 7, 6, 8, 2, 3, 7, 0, 6, 8, 3, 7, 2, 8, 2, 3, 7, 6, 8, 2, 3, 7, 0, 6, 8, 3, 7, 2, 8, 2, 3, 7, 6, 8, 2, 3, 7]",2013
16,MIA,"[2, 7, 2, 2, 1, 0, 2, 7, 2, 2, 0, 9, 2, 4, 1, 2, 7, 2, 2, 1, 0, 2, 7, 2, 2, 0, 9, 2, 4, 1, 2, 7, 2, 2, 1, 0, 2, 7, 2, 2, 0, 9, 2, 4, 1, 2, 7, 2, 2, 1]",2013
17,PHI,"[2, 6, 8, 3, 4, 2, 6, 2, 4, 6, 8, 2, 3, 4, 2, 6, 8, 3, 4, 2, 6, 2, 4, 6, 8, 2, 3, 4, 2, 6, 8, 3, 4, 2, 6, 2, 4, 6, 8, 2, 3, 4, 2, 6, 8, 3, 4, 2, 6, 2]",2013
18,NYK,"[1, 9, 3, 9, 8, 1, 9, 3, 2, 9, 1, 3, 4, 2, 1, 9, 3, 9, 8, 1, 9, 3, 2, 9, 1, 3, 4, 2, 1, 9, 3, 9, 8, 1, 9, 3, 2, 9, 1, 3, 4, 2, 1, 9, 3, 9, 8, 1, 9, 3]",2013
19,NOP,"[0, 8, 3, 6, 9, 9, 0, 8, 3, 0, 0, 2, 3, 6, 9, 0, 8, 3, 6, 9, 9, 0, 8, 3, 0, 0, 2, 3, 6, 9, 0, 8, 3, 6, 9, 9, 0, 8, 3, 0, 0, 2, 3, 6, 9, 0, 8, 3, 6, 9]",2013
20,LAL,"[8, 8, 4, 5, 2, 4, 8, 3, 8, 2, 8, 8, 5, 2, 8, 8, 4, 5, 2, 4, 8, 3, 8, 2, 8, 8, 5, 2, 8, 8, 4, 5, 2, 4, 8, 3, 8, 2, 8, 8, 5, 2, 8, 8, 4, 5, 2, 4, 8, 3]",2013
21,BRK,"[8, 0, 6, 9, 6, 7, 8, 0, 6, 6, 2, 7, 8, 0, 6, 8, 0, 6, 9, 6, 7, 8, 0, 6, 6, 2, 7, 8, 0, 6, 8, 0, 6, 9, 6, 7, 8, 0, 6, 6, 2, 7, 8, 0, 6, 8, 0, 6, 9, 6]",2013
22,ORL,"[6, 8, 2, 5, 6, 6, 8, 2, 5, 7, 6, 8, 5, 6, 7, 6, 8, 2, 5, 6, 6, 8, 2, 5, 7, 6, 8, 5, 6, 7, 6, 8, 2, 5, 6, 6, 8, 2, 5, 7, 6, 8, 5, 6, 7, 6, 8, 2, 5, 6]",2013
23,SAC,"[7, 6, 2, 0, 2, 7, 6, 0, 2, 3, 7, 0, 6, 2, 7, 6, 2, 0, 2, 7, 6, 0, 2, 3, 7, 0, 6, 2, 7, 6, 2, 0, 2, 7, 6, 0, 2, 3, 7, 0, 6, 2, 7, 6, 2, 0, 2, 7, 6, 0]",2013
24,MIL,"[8, 3, 3, 9, 4, 9, 3, 3, 9, 3, 8, 3, 3, 3, 0, 8, 3, 3, 9, 4, 9, 3, 3, 9, 3, 8, 3, 3, 3, 0, 8, 3, 3, 9, 4, 9, 3, 3, 9, 3, 8, 3, 3, 3, 0, 8, 3, 3, 9, 4]",2013
25,PHO,"[6, 3, 2, 9, 0, 3, 6, 3, 9, 0, 6, 3, 2, 2, 0, 6, 3, 2, 9, 0, 3, 6, 3, 9, 0, 6, 3, 2, 2, 0, 6, 3, 2, 9, 0, 3, 6, 3, 9, 0, 6, 3, 2, 2, 0, 6, 3, 2, 9, 0]",2013
26,CHI,"[7, 2, 2, 2, 7, 2, 2, 0, 2, 7, 2, 2, 2, 0, 7, 7, 2, 2, 2, 7, 2, 2, 0, 2, 7, 2, 2, 2, 0, 7, 7, 2, 2, 2, 7, 2, 2, 0, 2, 7, 2, 2, 2, 0, 7, 7, 2, 2, 2, 7]",2013
27,MIN,"[3, 1, 4, 7, 3, 3, 1, 4, 3, 3, 0, 1, 4, 3, 3, 1, 4, 7, 3, 3, 1, 4, 3, 3, 0, 1, 4, 3, 3, 1, 4, 7, 3, 3, 1, 4, 3, 3, 0, 1, 4, 3, 3, 1, 4, 7, 3, 3, 1, 4]",2013
28,DEN,"[9, 8, 2, 8, 6, 9, 8, 2, 6, 8, 4, 8, 2, 3, 8, 9, 8, 2, 8, 6, 9, 8, 2, 6, 8, 4, 8, 2, 3, 8, 9, 8, 2, 8, 6, 9, 8, 2, 6, 8, 4, 8, 2, 3, 8, 9, 8, 2, 8, 6]",2013
29,CHA,"[6, 7, 8, 0, 6, 6, 7, 0, 4, 6, 6, 7, 8, 0, 3, 6, 7, 8, 0, 6, 6, 7, 0, 4, 6, 6, 7, 8, 0, 3, 6, 7, 8, 0, 6, 6, 7, 0, 4, 6, 6, 7, 8, 0, 3, 6, 7, 8, 0, 6]",2013
