name,id,label
"Allen, Ray",AllenRay,3
"Anthony, Joel",AnthonyJoel,3
"Haslem, Udonis",HaslemUdonis,3
"Chalmers, Mario",ChalmersMario,3
"Wade, Dwyane",WadeDwyane,3
"Lewis, Rashard",LewisRashard,3
"Douglas, Toney",DouglasToney,3
"James, LeBron",JamesLeBron,3
"Beasley, Michael",BeasleyMichael,3
"Cole, Norris",ColeNorris,3
"Battier, Shane",BattierShane,3
"Bosh, Chris",BoshChris,3
