Team,Pts,Opp Pts,Avg Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count
Phoenix Suns,107.7,113.33,-5.63,99.62,107.29,112.96,-5.67,0.493,0.525,0.538,0.572,24,58,50.52,115.84,126.15,2016-2017,REG,82
Orlando Magic,101.07,107.65,-6.57,95.67,104.98,111.58,-6.6,0.489,0.523,0.524,0.559,29,53,48.68,111.39,125.68,2016-2017,REG,82
Houston Rockets,115.34,109.57,5.77,99.34,115.53,109.9,5.63,0.545,0.519,0.583,0.556,55,27,50.17,129.79,124.28,2016-2017,REG,82
Sacramento Kings,102.81,106.68,-3.88,94.19,108.05,112.1,-4.05,0.516,0.528,0.556,0.568,32,50,48.92,114.34,123.34,2016-2017,REG,82
Philadelphia 76ers,102.44,108.13,-5.7,97.96,103.78,109.65,-5.87,0.501,0.512,0.539,0.555,28,54,48.78,113.99,123.05,2016-2017,REG,82
Cleveland Cavaliers,110.34,107.16,3.18,95.41,114.49,110.89,3.6,0.547,0.516,0.58,0.549,51,31,49.73,123.27,122.85,2016-2017,REG,82
New Orleans Pelicans,104.34,106.44,-2.1,97.23,106.1,108.17,-2.07,0.504,0.509,0.539,0.542,34,48,47.48,118.4,122.5,2016-2017,REG,82
Charlotte Hornets,104.89,104.7,0.2,94.66,109.97,109.71,0.26,0.501,0.523,0.547,0.554,36,46,49.54,120.23,122.16,2016-2017,REG,82
New York Knicks,104.34,108.01,-3.67,95.6,108.18,112.17,-3.99,0.496,0.511,0.534,0.551,31,51,50.26,117.37,121.12,2016-2017,REG,82
Portland Trailblazers,107.94,108.46,-0.52,96.18,110.82,111.58,-0.76,0.52,0.508,0.559,0.554,41,41,49.81,119.83,120.92,2016-2017,REG,82
Minnesota Timberwolves,105.57,106.68,-1.11,94.16,111.42,112.34,-0.93,0.511,0.535,0.555,0.571,31,51,51.21,120.89,120.11,2016-2017,REG,82
Indiana Pacers,105.1,105.32,-0.22,95.47,109.12,109.34,-0.23,0.516,0.512,0.558,0.555,42,40,48.69,120.04,119.29,2016-2017,REG,82
Washington Wizards,109.18,107.38,1.81,96.76,111.84,110.13,1.71,0.528,0.524,0.564,0.561,49,33,49.89,124.5,119.01,2016-2017,REG,82
Boston Celtics,108.01,105.38,2.63,95.96,112.13,109.46,2.67,0.525,0.503,0.567,0.545,53,29,48.52,123.31,118.92,2016-2017,REG,82
Milwaukee Bucks,103.62,103.81,-0.18,93.77,109.95,109.89,0.06,0.527,0.518,0.565,0.557,42,40,48.76,120,118.11,2016-2017,REG,82
Detroit Pistons,101.33,102.45,-1.12,94.17,106.92,107.91,-0.99,0.492,0.516,0.521,0.554,37,45,51.58,113.17,117.98,2016-2017,REG,82
Atlanta Hawks,103.16,104.01,-0.85,96.71,105.59,106.72,-1.13,0.504,0.507,0.541,0.541,43,39,50.26,115.88,117.63,2016-2017,REG,82
Oklahoma City Thunder,106.6,105.84,0.76,97.1,109.09,108.6,0.49,0.5,0.511,0.54,0.551,47,35,53.42,117.95,116.87,2016-2017,REG,82
Chicago Bulls,102.87,102.44,0.43,94.99,107.74,107.5,0.24,0.487,0.507,0.53,0.54,41,41,51.74,118.38,116.84,2016-2017,REG,82
Los Angeles Clippers,108.67,104.38,4.29,95.55,113.3,109.03,4.27,0.537,0.506,0.574,0.546,51,31,49.94,123.22,116.06,2016-2017,REG,82
Dallas Mavericks,97.92,100.84,-2.93,91.85,106.06,109.39,-3.33,0.505,0.529,0.541,0.568,33,49,46.43,107.49,114.98,2016-2017,REG,82
Toronto Raptors,106.85,102.65,4.21,94.28,112.77,108.5,4.27,0.517,0.507,0.561,0.55,51,31,50.69,119.68,113,2016-2017,REG,82
Miami Heat,103.17,102.11,1.06,94.2,108.97,107.51,1.45,0.512,0.496,0.541,0.54,41,41,50.02,115.22,112.5,2016-2017,REG,82
Golden State Warriors,115.89,104.26,11.63,98.97,116.5,104.7,11.8,0.563,0.486,0.597,0.525,67,15,50.53,143.83,112.17,2016-2017,REG,82
Memphis Grizzlies,100.48,99.99,0.49,91.6,108.45,107.7,0.75,0.491,0.506,0.535,0.552,43,39,50.39,112,109.96,2016-2017,REG,82
San Antonio Spurs,105.33,98.13,7.2,93.5,111.94,104.07,7.86,0.524,0.492,0.564,0.53,61,21,51.41,125.16,107.55,2016-2017,REG,82
Utah Jazz,100.71,96.77,3.94,90.36,111.03,106.63,4.4,0.526,0.493,0.563,0.531,51,31,51.82,114.61,103.94,2016-2017,REG,82
Los Angeles Lakers,97.34,106.9,-9.56,95.31,101.88,112.01,-10.14,0.46,0.523,0.508,0.556,17,65,48.06,101.52,127.56,2015-2016,REG,82
Philadelphia 76ers,97.42,107.65,-10.23,97.29,99.5,110.23,-10.73,0.487,0.51,0.519,0.555,10,72,46.44,104.24,127.18,2015-2016,REG,82
Brooklyn Nets,98.65,106,-7.35,94.83,103.63,111.11,-7.48,0.491,0.534,0.527,0.565,21,61,49.42,109.54,125.33,2015-2016,REG,82
Sacramento Kings,106.59,109.06,-2.48,99.61,106.33,108.94,-2.62,0.51,0.521,0.546,0.557,33,49,49.56,119.85,124.13,2015-2016,REG,82
New Orleans Pelicans,102.72,106.51,-3.79,96.5,105.91,109.95,-4.04,0.498,0.523,0.537,0.564,30,52,48.96,113.98,123.54,2015-2016,REG,82
Phoenix Suns,100.87,107.52,-6.66,98.17,102.62,109.58,-6.97,0.487,0.523,0.526,0.563,23,59,50.63,107.24,123.02,2015-2016,REG,82
Houston Rockets,106.55,106.35,0.2,97.14,108.86,108.59,0.27,0.516,0.516,0.553,0.554,41,41,49.1,117.09,121.6,2015-2016,REG,82
Denver Nuggets,101.89,104.99,-3.1,95.27,106.14,109.32,-3.19,0.489,0.515,0.531,0.554,33,49,51.1,113.94,121.27,2015-2016,REG,82
Milwaukee Bucks,99.04,103.23,-4.2,93.65,104.95,109.13,-4.18,0.499,0.51,0.537,0.551,33,49,49.26,113.63,118.99,2015-2016,REG,82
Minnesota Timberwolves,102.42,105.95,-3.54,94.83,106.91,110.35,-3.44,0.498,0.524,0.55,0.559,29,53,49.79,116.38,118.82,2015-2016,REG,82
Orlando Magic,102.06,103.68,-1.62,95.57,105.59,107.13,-1.54,0.5,0.513,0.533,0.551,35,47,49.44,116.49,118.38,2015-2016,REG,82
Chicago Bulls,101.65,103.12,-1.48,95.45,105.29,106.94,-1.65,0.487,0.485,0.526,0.52,42,40,50.2,115.89,118.18,2015-2016,REG,82
Washington Wizards,104.07,104.56,-0.49,97.81,106,106.5,-0.5,0.511,0.515,0.544,0.555,41,41,48.59,116.67,117.61,2015-2016,REG,82
Portland Trailblazers,105.15,104.32,0.83,95.82,109.04,108.47,0.57,0.511,0.503,0.548,0.543,44,38,51,116.42,116.42,2015-2016,REG,82
Dallas Mavericks,102.29,102.6,-0.31,94.07,106.98,107.28,-0.31,0.502,0.504,0.544,0.54,42,40,48.49,114.32,116.22,2015-2016,REG,82
Charlotte Hornets,103.4,100.68,2.72,95.02,107.86,105.21,2.65,0.502,0.496,0.545,0.534,48,34,49.6,117.4,115.57,2015-2016,REG,82
Memphis Grizzlies,99.1,101.34,-2.24,92.76,106.03,108.25,-2.22,0.477,0.518,0.524,0.563,42,40,49.08,109.62,114.89,2015-2016,REG,82
Detroit Pistons,101.96,101.35,0.61,94.49,106.82,106.17,0.65,0.491,0.504,0.522,0.542,44,38,52.12,108.48,114.17,2015-2016,REG,82
New York Knicks,98.22,100.88,-2.66,92.89,105.08,107.79,-2.72,0.483,0.487,0.526,0.526,32,50,50.1,110.45,112.85,2015-2016,REG,82
Boston Celtics,105.72,102.51,3.21,98.18,107.13,104.04,3.1,0.488,0.487,0.531,0.531,48,34,49.4,119.73,112.77,2015-2016,REG,82
Golden State Warriors,114.89,104.13,10.76,98.78,115.14,103.97,11.17,0.563,0.479,0.593,0.52,73,9,51.28,139.66,112.73,2015-2016,REG,82
Atlanta Hawks,102.63,99.1,3.54,96.52,105.53,102.15,3.38,0.516,0.48,0.552,0.518,48,34,47.5,120.71,111.39,2015-2016,REG,82
Oklahoma City Thunder,110.22,102.94,7.28,96.34,113.54,106.07,7.47,0.524,0.484,0.566,0.524,55,27,54.74,128.88,110.38,2015-2016,REG,82
Los Angeles Clippers,104.5,100.22,4.28,95.52,108.58,104.22,4.36,0.524,0.48,0.556,0.523,53,29,47.39,119.06,109.51,2015-2016,REG,82
Indiana Pacers,102.16,100.45,1.71,96.31,105,103.26,1.74,0.497,0.489,0.536,0.528,45,37,49.83,114.84,109.46,2015-2016,REG,82
Toronto Raptors,102.71,98.21,4.5,92.13,110.92,105.99,4.93,0.504,0.498,0.552,0.535,56,26,51.56,115.33,108.59,2015-2016,REG,82
Cleveland Cavaliers,104.33,98.33,6,92.72,111.52,105.01,6.51,0.524,0.496,0.558,0.534,57,25,52.04,118.43,108.37,2015-2016,REG,82
Miami Heat,100.04,98.4,1.64,92.91,106.85,104.9,1.95,0.508,0.485,0.545,0.525,48,34,51.68,115.85,107.17,2015-2016,REG,82
Utah Jazz,97.68,95.89,1.79,90.47,106.49,104.6,1.89,0.501,0.495,0.54,0.534,40,42,51.9,108.29,104.45,2015-2016,REG,82
San Antonio Spurs,103.54,92.89,10.65,93.27,110.87,99.47,11.4,0.526,0.477,0.563,0.514,67,15,52.01,126.81,100.18,2015-2016,REG,82
