Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
34,B. Griffin | D. Jordan | L. Mbah a Moute | C. Paul | J. Redick,LAC,2015-16,19,273.6,539,541,94.8,40,-2,0.084,13,3,0.11,0.098,8,35,-0.162,101
35,R. Felton | W. Matthews | D. Nowitzki | Z. Pachulia | D. Williams,DAL,2015-16,40,271.7,518,509,90.7,21,22,0.023,10,8,0.047,0.031,19,8,0.121,71
36,G. Dieng | T. Prince | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,37,262.4,501,494,91,1,-6,0.008,-32,-63,-0.098,-0.026,17,36,-0.1,-13
37,T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,2015-16,25,260.7,487,486,89.6,9,29,-0.01,-10,-44,0.059,-0.024,31,25,0.129,39
38,N. Batum | P. Hairston | K. Walker | M. Williams | C. Zeller,CHO,2015-16,23,258.9,500,503,93,-11,-12,-0.012,9,34,-0.032,0,-2,-13,0.105,-15
39,D. Favors | R. Gobert | G. Hayward | R. Hood | S. Mack,UTA,2015-16,22,255.3,473,478,89.4,14,-13,0.048,1,2,0.001,0.05,14,27,-0.065,43
40,A. Bogut | S. Curry | D. Green | B. Rush | K. Thompson,GSW,2015-16,34,253.8,539,532,101.3,28,-39,0.097,51,72,0.154,0.156,-16,-18,-0.03,91
41,K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,2015-16,28,250.4,485,487,93.2,-19,-33,-0.008,-1,47,-0.143,-0.005,0,5,-0.051,-39
42,A. Horford | K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,2015-16,56,235,473,461,95.4,13,-21,0.052,11,19,0.04,0.067,-5,-12,0.047,32
43,B. Beal | J. Dudley | M. Gortat | O. Porter | J. Wall,WAS,2015-16,31,230,480,470,99.1,23,27,0.025,10,42,-0.046,0.033,-15,-12,-0.065,41
44,D. Carroll | D. DeRozan | K. Lowry | L. Scola | J. Valanciunas,TOR,2015-16,15,228.9,443,443,92.9,-14,22,-0.061,7,-7,0.097,-0.055,18,24,-0.011,-3
45,C. Anthony | J. Calderon | R. Lopez | K. Porzingis | S. Vujacic,NYK,2015-16,19,228.6,445,440,92.9,6,9,0.005,14,23,0.051,0.021,-9,-17,0.066,17
46,K. Bryant | J. Clarkson | R. Hibbert | L. Nance | L. Williams,LAL,2015-16,18,220.3,440,429,94.7,-26,-8,-0.056,-15,-4,-0.14,-0.074,-19,-24,-0.02,-86
47,R. Hollis-Jefferson | J. Jack | J. Johnson | B. Lopez | T. Young,BRK,2015-16,16,219.9,450,452,98.5,3,6,0.001,-26,-73,0.001,-0.032,26,25,0.082,6
48,J. Butler | P. Gasol | T. Gibson | D. Rose | T. Snell,CHI,2015-16,22,219.6,425,424,92.8,-5,-57,0.043,-18,-39,-0.088,0.025,35,20,0.286,7
49,E. Fournier | A. Gordon | V. Oladipo | E. Payton | N. Vucevic,ORL,2015-16,25,219.1,452,462,100.1,-4,10,-0.021,-12,-7,-0.09,-0.037,-12,-11,-0.045,-32
50,B. Biyombo | D. DeRozan | C. Joseph | P. Patterson | T. Ross,TOR,2015-16,55,217.7,437,438,96.5,10,-6,0.034,3,0,0.031,0.038,28,36,-0.001,51
