Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
26,T. Hardaway | A. Horford | D. Schroder | M. Scott | T. Sefolosha,ATL,2015-16,40,177.5,342,349,93.4,21,-5,0.075,14,10,0.109,0.098,2,-1,0.041,58
27,K. Caldwell-Pope | A. Drummond | T. Harris | R. Jackson | M. Morris,DET,2015-16,25,462.1,894,884,92.3,-3,3,-0.006,19,43,0.018,0.006,40,88,-0.153,53
28,B. Biyombo | D. DeRozan | C. Joseph | P. Patterson | T. Ross,TOR,2015-16,55,217.7,437,438,96.5,10,-6,0.034,3,0,0.031,0.038,28,36,-0.001,51
29,M. Ellis | P. George | G. Hill | S. Hill | I. Mahinmi,IND,2015-16,21,105.6,215,217,98.2,20,10,0.083,-4,-21,0.036,0.069,15,16,0.033,51
30,W. Johnson | D. Jordan | L. Mbah a Moute | C. Paul | J. Redick,LAC,2015-16,31,158.4,316,312,95.2,12,-20,0.072,13,39,-0.002,0.099,12,33,-0.156,49
31,D. Favors | R. Gobert | G. Hayward | R. Hood | R. Neto,UTA,2015-16,30,305,571,563,89.2,16,-10,0.041,-7,-12,-0.023,0.035,24,28,0.027,49
32,A. Bogut | S. Curry | D. Green | S. Livingston | K. Thompson,GSW,2015-16,22,55.6,114,110,96.7,18,15,0.119,10,12,0.163,0.161,1,-2,0.067,47
33,E. Fournier | C. Frye | T. Harris | E. Payton | N. Vucevic,ORL,2015-16,26,334,628,626,90.1,29,35,0.022,2,-19,0.06,0.021,-14,-16,-0.024,46
34,L. Aldridge | T. Duncan | M. Ginobili | K. Leonard | T. Parker,SAS,2015-16,34,121.3,238,233,93.2,23,21,0.068,-10,-16,-0.099,0.04,9,-5,0.211,45
35,S. Hawes | F. Kaminsky | J. Lamb | J. Lin | M. Williams,CHO,2015-16,19,92.5,177,171,90.3,11,-8,0.087,9,14,0.094,0.116,14,18,0.023,45
36,M. Ellis | P. George | G. Hill | I. Mahinmi | M. Turner,IND,2015-16,29,451.4,927,923,98.4,0,-25,0.014,-1,-27,0.038,0.014,45,44,0.054,44
37,M. Dellavedova | L. James | K. Love | T. Thompson | M. Williams,CLE,2015-16,11,40.2,82,79,96.1,13,1,0.186,5,-1,0.268,0.223,13,13,0.076,44
38,D. Favors | R. Gobert | G. Hayward | R. Hood | S. Mack,UTA,2015-16,22,255.3,473,478,89.4,14,-13,0.048,1,2,0.001,0.05,14,27,-0.065,43
39,A. Gordon | M. Hezonja | V. Oladipo | E. Payton | N. Vucevic,ORL,2015-16,12,74.5,153,149,97.3,14,12,0.059,2,4,0.023,0.063,13,10,0.186,43
40,K. Faried | G. Harris | N. Jokic | E. Mudiay | J. Sampson,DEN,2015-16,15,192.9,374,371,92.7,20,2,0.056,0,-8,0.035,0.056,3,3,0.01,43
41,O. Casspi | D. Collison | D. Cousins | R. Gay | R. Rondo,SAC,2015-16,31,133.2,281,273,99.8,14,-17,0.09,-8,-27,-0.002,0.077,22,25,0.039,42
42,B. Beal | J. Dudley | M. Gortat | O. Porter | J. Wall,WAS,2015-16,31,230,480,470,99.1,23,27,0.025,10,42,-0.046,0.033,-15,-12,-0.065,41
43,T. Ariza | P. Beverley | C. Brewer | C. Capela | J. Harden,HOU,2015-16,22,74.6,153,156,99.4,7,-2,0.067,9,15,0.074,0.105,17,26,-0.048,40
44,K. Durant | S. Ibaka | A. Morrow | D. Waiters | R. Westbrook,OKC,2015-16,19,38.3,90,87,111,12,2,0.157,5,6,0.125,0.191,11,9,0.085,40
45,A. Crabbe | E. Davis | G. Henderson | M. Leonard | D. Lillard,POR,2015-16,30,129.6,264,262,97.4,15,6,0.053,9,23,0.007,0.07,1,-11,0.136,40
46,K. Garnett | T. Prince | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,25,275.5,514,521,90.2,23,9,0.041,-24,-58,-0.058,0.015,18,27,-0.023,40
47,R. Felton | W. Matthews | D. Nowitzki | C. Parsons | D. Williams,DAL,2015-16,10,61.3,126,124,97.8,10,-5,0.113,9,11,0.094,0.157,11,7,0.25,40
48,T. Ariza | P. Beverley | J. Harden | D. Howard | M. Thornton,HOU,2015-16,18,65.2,135,126,96.1,4,8,0,14,20,0.201,0.062,18,17,0.129,40
49,K. Bazemore | P. Millsap | D. Schroder | T. Sefolosha | T. Splitter,ATL,2015-16,18,55.8,112,109,95.1,11,0,0.126,4,-2,0.278,0.149,13,16,0.016,39
50,A. Baynes | S. Blake | S. Johnson | M. Morris | A. Tolliver,DET,2015-16,27,159.7,301,304,90.9,11,8,0.028,18,31,0.086,0.06,-1,9,-0.159,39
51,A. Bradley | J. Crowder | K. Olynyk | J. Sullinger | I. Thomas,BOS,2015-16,26,96.9,205,210,102.8,22,24,0.066,4,16,-0.039,0.07,-9,-20,0.115,39
52,T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,2015-16,25,260.7,487,486,89.6,9,29,-0.01,-10,-44,0.059,-0.024,31,25,0.129,39
53,G. Antetokounmpo | O. Mayo | K. Middleton | G. Monroe | J. Parker,MIL,2015-16,19,134.7,278,280,99.4,17,-2,0.074,-4,-43,0.211,0.066,8,7,0.04,38
54,L. Barbosa | S. Curry | D. Green | S. Livingston | M. Speights,GSW,2015-16,9,30.5,64,65,101.7,13,-1,0.239,9,4,0.346,0.32,3,3,0.033,38
55,A. Bradley | J. Crowder | A. Johnson | J. Sullinger | I. Thomas,BOS,2015-16,62,722.6,1427,1429,94.9,6,17,-0.001,33,73,0.018,0.01,-8,-5,-0.017,37
56,T. Ariza | P. Beverley | C. Capela | J. Harden | D. Howard,HOU,2015-16,23,196.5,370,369,90.2,6,-3,0.022,-9,-16,-0.028,0.009,34,58,-0.094,37
57,J. Crawford | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,2015-16,23,83.6,178,176,101.7,14,-2,0.109,13,11,0.201,0.158,-4,3,-0.07,37
58,M. Barnes | M. Conley | M. Gasol | J. Green | Z. Randolph,MEM,2015-16,12,48.9,93,92,90.9,14,15,0.103,-1,-13,0.15,0.089,10,22,-0.239,37
59,S. Blake | K. Caldwell-Pope | A. Drummond | S. Johnson | A. Tolliver,DET,2015-16,17,48.3,99,99,98.3,15,12,0.116,9,12,0.168,0.158,-2,6,-0.243,37
60,L. Deng | G. Dragic | D. Wade | H. Whiteside | J. Winslow,MIA,2015-16,33,155.1,316,315,97.6,17,-3,0.067,-5,-15,-0.02,0.058,8,-3,0.127,37
61,L. Aldridge | T. Duncan | D. Green | K. Leonard | P. Mills,SAS,2015-16,28,44.2,85,84,91.8,15,5,0.15,6,12,0.092,0.183,1,1,0.006,37
62,H. Barnes | S. Curry | D. Green | S. Livingston | K. Thompson,GSW,2015-16,29,86.8,183,183,101.2,9,-13,0.095,8,23,0.004,0.126,11,4,0.14,37
63,B. Biyombo | D. DeRozan | C. Joseph | K. Lowry | P. Patterson,TOR,2015-16,47,141.4,268,276,92.4,0,-55,0.104,-10,-45,0.076,0.096,46,65,-0.046,36
64,A. Bradley | J. Crowder | J. Sullinger | I. Thomas | E. Turner,BOS,2015-16,33,67.2,148,144,104.3,9,22,-0.002,9,11,0.186,0.029,9,6,0.068,36
65,L. Deng | G. Dragic | J. Johnson | A. Stoudemire | D. Wade,MIA,2015-16,16,196.8,373,370,90.6,23,-8,0.08,7,-2,0.123,0.091,-17,-32,0.118,36
